Han/Fu,20,25,30,40,50,60,70,80,90,100,110
1han,0 0,0 0,500 1500,700 2000,800 2400,1000 2900,1200 3400,1300 3900,1500 4400,1600 4800,1800 5300
2han,700,0 2400,1000 2900,1300 3900,1600 4800,2000 5800,2300 6800,2600 7700,2900 8700,3200 9600,3600 10600
3han,1300 0,1600 4800,2000 5800,2600 7700,3200 9600,3900 11600,4000 12000,4000 12000,4000 12000,4000 12000,4000 12000
4han,2600 0,3200 9600,3900 11600,4000 12000,4000 12000,4000 12000,4000 12000,4000 12000,4000 12000,4000 12000,4000 12000
5han,4000 12000,,,,,,,,,,
6han,6000 18000,,,,,,,,,,
7han,6000 18000,,,,,,,,,,
8han,8000 24000,,,,,,,,,,
9han,8000 24000,,,,,,,,,,
10han,8000 24000,,,,,,,,,,
11han,12000 36000,,,,,,,,,,
12han,12000 36000,,,,,,,,,,
13han,16000 48000,,,,,,,,,,
